abbr,fy_start_month,note
AL,10,"Alabama's fiscal year begins October 1, matching the federal government."
AK,7,
AZ,7,
AR,7,
CA,7,
CO,7,
CT,7,
DE,7,
FL,7,
GA,7,
HI,7,
ID,7,
IL,7,
IN,7,
IA,7,
KS,7,
KY,7,
LA,7,
ME,7,
MD,7,
MA,7,
MI,10,"Michigan's fiscal year begins October 1, matching the federal government."
MN,7,
MS,7,
MO,7,
MT,7,
NE,7,
NV,7,
NH,7,
NJ,7,
NM,7,
NY,4,"New York's fiscal year begins April 1, the earliest of any state."
NC,7,
ND,7,
OH,7,
OK,7,
OR,7,
PA,7,
RI,7,
SC,7,
SD,7,
TN,7,
TX,9,"Texas's fiscal year begins September 1."
UT,7,
VT,7,
VA,7,
WA,7,
WV,7,
WI,7,
WY,7,
