abbr,name,start,party,note
AL,"Forrest Hood James, Jr.",1995-01-16,R,"Fob James served his 1995-99 term as a Republican; his earlier 1979-83 term was as a Democrat."
FL,Charlie Crist,2007-01-02,R,"Served as a Republican; left the party in 2010 and became a Democrat in 2012."
GA,Sonny Perdue,2003-01-13,R,"Switched from Democrat to Republican in 1998, before his 2002 election."
KS,Joan Finney,1991-01-14,D,"Democrat; Wikidata lists additional affiliations."
KS,Mark Parkinson,2009-04-28,D,"Former Republican legislator who switched to the Democratic Party in 2006 and served as a Democrat."
KY,Brereton C. Jones,1991-12-10,D,"Served as a Democrat; was a Republican legislator in West Virginia earlier in his career."
LA,Murphy J. Foster,1996-01-08,R,"Mike Foster switched from Democrat to Republican during the 1995 campaign and served as a Republican."
MN,Jesse Ventura,1999-01-04,I,"Elected on the Reform Party ticket, later the Independence Party of Minnesota; neither major party."
MO,Eric Greitens,2017-01-09,R,"Served as a Republican; was a Democrat before entering electoral politics."
ND,John Hoeven,2000-12-15,R,"Served as a Republican."
NE,Mike Johanns,1999-01-07,R,"Served as a Republican."
NV,Kenny Guinn,1999-01-04,R,"Served as a Republican."
TX,Rick Perry,2000-12-21,R,"Served as a Republican; was a Democratic state representative until switching parties in 1989."
WV,Jim Justice,2017-01-16,R,"Elected as a Democrat in 2016 but switched to the Republican Party in August 2017, serving all but seven months of the term as a Republican."
